t,m,j,u,Price
2018-19,Harari,Kariya,Kg,34.1762686
2018-19,Harari,Kocho,Kg,125
2018-19,Harari,Leafy Greens,Kg,18.17876497
2018-19,Harari,Lentils,Kg,60.69081771
2018-19,Harari,Linseed,Kg,61.750518
2018-19,Harari,Maize,Kg,15.75762112
2018-19,Harari,Mango,Kg,20.35187088
2018-19,Harari,Milk,Kg,39.9820072
2018-19,Harari,Moringa/Shiferaw/Halloka,Kg,24.27184463
2018-19,Harari,Niger Seed,Kg,51.90015611
2018-19,Harari,Oats,Kg,32.93654772
2018-19,Harari,Oils,Kg,64.00563953
2018-19,Harari,Onion,Kg,25.36616629
2018-19,Harari,Orange,Kg,48.78703701
2018-19,Harari,Other prepared food,Kg,46.66666667
2018-19,Harari,Other vegetable,Kg,159.9999924
2018-19,Harari,Papaya,Kg,39.7761448
2018-19,Harari,Pasta/Macaroni,Kg,31.00643112
2018-19,Harari,Potato,Kg,13.42372171
2018-19,Harari,Poultry,Kg,270.9173053
2018-19,Harari,Rice,Kg,27.49216708
2018-19,Harari,Salt,Kg,19.29573807
2018-19,Harari,Sesame,Kg,122.7777778
2018-19,Harari,Shiro,Kg,55.12071152
2018-19,Harari,Soda,Kg,59.47503501
2018-19,Harari,Sorghum,Kg,15.07750794
2018-19,Harari,Sugar,Kg,27.49891804
2018-19,Harari,Sun Flower,Kg,42.26782084
2018-19,Harari,Sweet potato,Kg,19.82438068
2018-19,Harari,Tea,Kg,97.22520424
2018-19,Harari,Teff,Kg,30.77490629
2018-19,Harari,Tella,Kg,11.35714284
2018-19,Harari,Tomato,Kg,19.13151623
2018-19,Harari,Wheat,Kg,23.22963494
2018-19,Oromia,Avocado,Kg,18.80884665
2018-19,Oromia,Banana,Kg,16.82392302
2018-19,Oromia,Barley,Kg,44.48686693
2018-19,Oromia,Beef,Kg,342.6821589
2018-19,Oromia,Beer,Kg,61.40034905
2018-19,Oromia,Beetroot,Kg,18.65270103
2018-19,Oromia,Berbere,Kg,102.4028333
2018-19,Oromia,Bread/biscuit,Kg,123.1099744
2018-19,Oromia,Bula,Kg,54.42608087
2018-19,Oromia,Butter/ghee,Kg,354.3692595
2018-19,Oromia,Carrot,Kg,22.22037874
2018-19,Oromia,Chat/Kat,Kg,107.9301373
2018-19,Oromia,Cheese,Kg,70.67861054
2018-19,Oromia,Chick Pea,Kg,37.3246859
2018-19,Oromia,Coffee,Kg,117.355195
2018-19,Oromia,Eggs,Kg,22.8363872
2018-19,Oromia,Fenugreek,Kg,48.04707936
2018-19,Oromia,Field Pea,Kg,36.9546475
2018-19,Oromia,Fish,Kg,214.7435849
2018-19,Oromia,Garlic,Kg,49.47807112
2018-19,Oromia,Goat & mutton meat,Kg,381.5831722
2018-19,Oromia,Ground nuts,Kg,69.94712694
2018-19,Oromia,Haricot Beans,Kg,17.97708313
2018-19,Oromia,Honey,Kg,136.9429702
2018-19,Oromia,Hops (gesho),Kg,10.80553894
2018-19,Oromia,Horsebeans,Kg,52.21028021
2018-19,Oromia,Injera,Kg,26.59953771
2018-19,Oromia,Kariya,Kg,16.40539818
2018-19,Oromia,Kocho,Kg,66.76738963
2018-19,Oromia,Leafy Greens,Kg,13.17770048
2018-19,Oromia,Lentils,Kg,72.28715433
2018-19,Oromia,Linseed,Kg,58.16356889
2018-19,Oromia,Maize,Kg,11.84512037
2018-19,Oromia,Mango,Kg,17.55255416
2018-19,Oromia,Milk,Kg,27.56715912
2018-19,Oromia,Millet,Kg,11.53830835
2018-19,Oromia,Moringa/Shiferaw/Halloka,Kg,328.412689
2018-19,Oromia,Niger Seed,Kg,66.16047541
2018-19,Oromia,Oats,Kg,28.44895794
2018-19,Oromia,Oils,Kg,137.9518704
2018-19,Oromia,Onion,Kg,21.54263459
2018-19,Oromia,Orange,Kg,19.46268561
2018-19,Oromia,Other condiments,Kg,126.5891019
