Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2807","Rice and products","2011","2011","1000 t","233","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2807","Rice and products","2011","2011","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2807","Rice and products","2011","2011","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2807","Rice and products","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2807","Rice and products","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2807","Rice and products","2011","2011","1000 t","228","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2807","Rice and products","2011","2011","kg/cap","2.48","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2807","Rice and products","2011","2011","kcal/cap/d","15.49","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2807","Rice and products","2011","2011","million Kcal","519127.65","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2011","2011","g/cap/d","0.32","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2807","Rice and products","2011","2011","t","10587.94","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2807","Rice and products","2011","2011","g/cap/d","0.04","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2807","Rice and products","2011","2011","t","1417.22","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2012","2012","1000 t","121","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2807","Rice and products","2012","2012","1000 t","133","I","Imputed value",""
